,序號,詞語,等別,級別,情境,書面字頻(每百萬字),口語字頻(每百萬字),簡編本系統號,參考注音,參考漢語拼音,warning,definition
10104,10105,大老,精熟,第7級,,4,1,"[['大老', ['7064']]]",ㄉㄚˋ ㄌㄠˇ,dàlǎo,False,
10116,10117,大手筆,精熟,第7級,,2,1,"[['大手筆', ['7313']]]",ㄉㄚˋ ㄕㄡˇ ㄅㄧˇ,dàshǒubǐ,False,
10123,10124,大相逕庭,精熟,第7級,,2,1,"[['大相逕庭', ['7229']]]",ㄉㄚˋ ㄒㄧㄤ ㄐㄧㄥˋ ㄊㄧㄥˊ,dàxiāngjìngtíng,False,
10150,10151,旦夕,精熟,第7級,,4,1,[],ㄉㄢˋ ㄒㄧˋ,dànxì,False,
10155,10156,當差,精熟,第7級,,3,0,"[['當差', ['8053']]]",ㄉㄤ ㄔㄞ,dāngchāi,False,
10161,10162,當頭棒喝,精熟,第7級,,2,1,"[['當頭棒喝', ['8029']]]",ㄉㄤ ㄊㄡˊ ㄅㄤˋ ㄏㄜˋ,dāngtóubànghè,False,
10166,10167,倒過來,精熟,第7級,,3,3,[],ㄉㄠˋ ㄍㄨㄛˋ ㄌㄞˊ,dàoguòlái,False,
10200,10201,敵不過,精熟,第7級,,2,1,[],ㄉㄧˊㄅㄨˊㄍㄨㄛˋ,díbúguò,False,
10275,10276,棟樑,精熟,第7級,,1,0,[],ㄉㄨㄥˋ ㄌㄧㄤˊ,dòngliáng,False,
10311,10312,獨門,精熟,第7級,,3,2,"[['獨門', ['9226']]]",ㄉㄨˊ ㄇㄣˊ,dúmén,False,
10317,10318,獨享,精熟,第7級,,2,1,"[['獨享', ['9254']]]",ㄉㄨˊ ㄒㄧㄤˇ,dúxiǎng,False,
10324,10325,端視,精熟,第7級,,3,0,[],ㄉㄨㄢ ㄕˋ,duānshì,False,
10350,10351,多難,精熟,第7級,,3,2,"[['多難', ['9382']]]",ㄉㄨㄛ ㄋㄢˋ,duōnàn,False,
10406,10407,泛黃,精熟,第7級,,2,2,[],ㄈㄢˋ ㄏㄨㄤˊ,fànhuáng,False,
