序號,詞語,等別,級別,情境,書面字頻(每百萬字),口語字頻(每百萬字),簡編本系統號,參考注音,參考漢語拼音
10357,惡狠狠,精熟,第7級,,4,0,"[['惡狠狠', ['39445']]]",ㄜˋ ㄏㄣˇ ㄏㄣˇ,èhěnhěn
10358,惡名,精熟,第7級,,3,0,"[['惡名', ['39430']]]",ㄜˋ ㄇㄧㄥˊ,èmíng
10359,愕然,精熟,第7級,,2,0,"[['愕然', ['39467']]]",ㄜˋ ㄖㄢˊ,èrán
10360,扼殺,精熟,第7級,,5,2,"[['扼殺', ['39416']]]",ㄜˋ ㄕㄚ,èshā
10361,扼腕,精熟,第7級,,2,1,"[['扼腕', ['39419']]]",ㄜˋ ㄨㄢˋ,èwàn
10362,惡行,精熟,第7級,,5,1,"[['惡行', ['39450']]]",ㄜˋ ㄒㄧㄥˋ,èxìng
10363,惡言,精熟,第7級,,4,1,"[['惡言', ['39463']]]",ㄜˋ ㄧㄢˊ,èyán
10364,扼要,精熟,第7級,,5,1,"[['扼要', ['39418']]]",ㄜˋ ㄧㄠˋ,èyào
10365,鱷魚,精熟,第7級,,5,4,"[['鱷魚', ['39487']]]",ㄜˋ ㄩˊ,èyú
10366,阿諛,精熟,第7級,,3,1,"[['阿諛', ['39373']]]",ㄜ ㄩˊ,ēyú
10367,厄運,精熟,第7級,,5,1,"[['厄運', ['39413']]]",ㄜˋ ㄩㄣˋ,èyùn
10368,遏止,精熟,第7級,,4,4,"[['遏止', ['39474']]]",ㄜˋ ㄓˇ,èzhǐ
10369,恩惠,精熟,第7級,,4,1,"[['恩惠', ['39839']]]",ㄣ ㄏㄨㄟˋ,ēnhuì
10370,恩情,精熟,第7級,,4,3,"[['恩情', ['39842']]]",ㄣ ㄑㄧㄥˊ,ēnqíng
10371,恩師,精熟,第7級,,3,1,"[['恩師', ['39846']]]",ㄣ ㄕ,ēnshī
10372,恩賜,精熟,第7級,,5,3,"[['恩賜', ['39849']]]",ㄣ ㄙˋ,ēnsì
10373,恩怨,精熟,第7級,,4,3,"[['恩怨', ['39853']]]",ㄣ ㄩㄢˋ,ēnyuàn
10374,貳,精熟,第7級,,3,1,"[['貳', ['39957']]]",ㄦˋ,èr
10375,餌,精熟,第7級,,5,3,"[['餌', ['39924']]]",ㄦˇ,ěr
10376,爾後,精熟,第7級,,4,2,"[['爾後', ['39928']]]",ㄦˇ ㄏㄡˋ,ěrhòu
10377,二話不說,精熟,第7級,,4,3,[],ㄦˋ ㄏㄨㄚˋ ㄅㄨˋ ㄕㄨㄛ,èrhuàbùshuō
10378,耳目一新,精熟,第7級,,2,3,"[['耳目一新', ['39897']]]",ㄦˇ ㄇㄨˋ ㄧ ㄒㄧㄣ,ěrmùyīxīn
10379,耳熟能詳,精熟,第7級,,4,4,"[['耳熟能詳', ['39914']]]",ㄦˇ ㄕㄨˊ ㄋㄥˊ ㄒㄧㄤˊ,ěrshúnéngxiáng
10380,耳提面命,精熟,第7級,,2,2,"[['耳提面命', ['39901']]]",ㄦˇ ㄊㄧˊ ㄇㄧㄢˋ ㄇㄧㄥˋ,ěrtímiànmìng
10381,耳聞,精熟,第7級,,4,1,"[['耳聞', ['39919']]]",ㄦˇ ㄨㄣˊ,ěrwén
10382,兒戲,精熟,第7級,,3,1,"[['兒戲', ['39887']]]",ㄦˊ ㄒㄧˋ,érxì
10383,耳語,精熟,第7級,,5,2,"[['耳語', ['39920']]]",ㄦˇ ㄩˇ,ěryǔ
10384,發飆,精熟,第7級,,2,1,"[['發飆', ['5106']]]",ㄈㄚ ㄅㄧㄠ,fābiāo
10385,法定,精熟,第7級,,6,2,"[['法定', ['5237']]]",ㄈㄚˇ ㄉㄧㄥˋ,fǎdìng
10386,發號施令,精熟,第7級,,6,1,"[['發號施令', ['5146']]]",ㄈㄚ ㄏㄠˋ ㄕ ㄌㄧㄥˋ,fāhàoshīlìng
10387,發慌,精熟,第7級,,2,0,"[['發慌', ['5155']]]",ㄈㄚ ㄏㄨㄤ,fāhuāng
10388,發跡,精熟,第7級,,4,1,"[['發跡', ['5156']]]",ㄈㄚ ㄐㄧ,fājī
10389,法力,精熟,第7級,,3,1,"[['法力', ['5246']]]",ㄈㄚˇ ㄌㄧˋ,fǎlì
10390,發麻,精熟,第7級,,3,1,"[['發麻', ['5115']]]",ㄈㄚ ㄇㄚˊ,fāmá
10391,發難,精熟,第7級,,3,1,"[['發難', ['5135']]]",ㄈㄚ ㄋㄢˋ,fānàn
10392,發人深省,精熟,第7級,,3,1,"[['發人深省', ['5194']]]",ㄈㄚ ㄖㄣˊ ㄕㄣ ㄒㄧㄥˇ,fārénshēnxǐng
10393,法術,精熟,第7級,,6,0,"[['法術', ['5263']]]",ㄈㄚˇ ㄕㄨˋ,fǎshù
10394,發言人,精熟,第7級,,4,7,"[['發言人', ['5203']]]",ㄈㄚ ㄧㄢˊ ㄖㄣˊ,fāyánrén
10395,發揚,精熟,第7級,,4,3,"[['發揚', ['5206']]]",ㄈㄚ ㄧㄤˊ,fāyáng
10396,發癢,精熟,第7級,,3,1,"[['發癢', ['5208']]]",ㄈㄚ ㄧㄤˇ,fāyǎng
10397,發揚光大,精熟,第7級,,4,5,"[['發揚光大', ['5207']]]",ㄈㄚ ㄧㄤˊ ㄍㄨㄤ ㄉㄚˋ,fāyángguāngdà
10398,發源地,精熟,第7級,,2,7,"[['發源地', ['5213']]]",ㄈㄚ ㄩㄢˊ ㄉㄧˋ,fāyuándì
10399,翻版,精熟,第7級,,3,1,"[['翻版', ['5486']]]",ㄈㄢ ㄅㄢˇ,fānbǎn
10400,範本,精熟,第7級,,7,2,"[['範本', ['5667']]]",ㄈㄢˋ ㄅㄣˇ,fànběn
10401,帆布,精熟,第7級,,4,4,"[['帆布', ['5526']]]",ㄈㄢ ㄅㄨˋ,fānbù
10402,反動,精熟,第7級,,7,0,"[['反動', ['5599']]]",ㄈㄢˇ ㄉㄨㄥˋ,fǎndòng
10403,繁多,精熟,第7級,,5,3,"[['繁多', ['5559']]]",ㄈㄢˊ ㄉㄨㄛ,fánduō
10404,凡夫俗子,精熟,第7級,,2,0,"[['凡夫俗子', ['5518']]]",ㄈㄢˊ ㄈㄨ ㄙㄨˊ ㄗˇ,fánfūsúzǐ
10405,反覆無常,精熟,第7級,,2,1,"[['反覆無常', ['5595']]]",ㄈㄢˇ ㄈㄨˋ ㄨˊ ㄔㄤˊ,fǎnfùwúcháng
10406,反攻,精熟,第7級,,7,1,"[['反攻', ['5604']]]",ㄈㄢˇ ㄍㄨㄥ,fǎngōng
10407,泛黃,精熟,第7級,,2,2,[],ㄈㄢˋ ㄏㄨㄤˊ,fànhuáng
10408,反悔,精熟,第7級,,3,2,"[['反悔', ['5611']]]",ㄈㄢˇ ㄏㄨㄟˇ,fǎnhuǐ
10409,翻來覆去,精熟,第7級,,3,1,"[['翻來覆去', ['5492']]]",ㄈㄢ ㄌㄞˊ ㄈㄨˋ ㄑㄩˋ,fānláifùqù
10410,泛濫,精熟,第7級,,2,1,"[['泛濫', ['5678']]]",ㄈㄢˋ ㄌㄢˋ,fànlàn
10411,藩籬,精熟,第7級,,3,5,"[['藩籬', ['5545']]]",ㄈㄢˊ ㄌㄧˊ,fánlí
10412,繁茂,精熟,第7級,,3,3,"[['繁茂', ['5554']]]",ㄈㄢˊ ㄇㄠˋ,fánmào
10413,煩悶,精熟,第7級,,3,0,"[['煩悶', ['5530']]]",ㄈㄢˊ ㄇㄣˋ,fánmèn
10414,反撲,精熟,第7級,,3,3,"[['反撲', ['5585']]]",ㄈㄢˇ ㄆㄨ,fǎnpū
10415,繁瑣,精熟,第7級,,4,4,"[['繁瑣', ['5573']]]",ㄈㄢˊ ㄙㄨㄛˇ,fánsuǒ
10416,翻騰,精熟,第7級,,5,1,"[['翻騰', ['5490']]]",ㄈㄢ ㄊㄥˊ,fānténg
10417,反胃,精熟,第7級,,3,0,"[['反胃', ['5639']]]",ㄈㄢˇ ㄨㄟˋ,fǎnwèi
10418,翻新,精熟,第7級,,3,1,"[['翻新', ['5503']]]",ㄈㄢ ㄒㄧㄣ,fānxīn
10419,繁星,精熟,第7級,,3,1,"[['繁星', ['5566']]]",ㄈㄢˊ ㄒㄧㄥ,fánxīng
10420,繁衍,精熟,第7級,,6,12,"[['繁衍', ['5574']]]",ㄈㄢˊ ㄧㄢˇ,fányǎn
10421,泛指,精熟,第7級,,2,1,"[['泛指', ['5681']]]",ㄈㄢˋ ㄓˇ,fànzhǐ
10422,繁重,精熟,第7級,,3,3,"[['繁重', ['5568']]]",ㄈㄢˊ ㄓㄨㄥˋ,fánzhòng
10423,翻轉,精熟,第7級,,5,2,"[['翻轉', ['5505']]]",ㄈㄢ ㄓㄨㄢˇ,fānzhuǎn
10424,方程式,精熟,第7級,,11,2,"[['方程式', ['5896']]]",ㄈㄤ ㄔㄥˊ ㄕˋ,fāngchéngshì
10425,放大鏡,精熟,第7級,,3,6,"[['放大鏡', ['6029']]]",ㄈㄤˋ ㄉㄚˋ ㄐㄧㄥˋ,fàngdàjìng
10426,放蕩,精熟,第7級,,4,0,"[['放蕩', ['6032']]]",ㄈㄤˋ ㄉㄤˋ,fàngdàng
10427,防空,精熟,第7級,,1,2,"[['防空', ['5941']]]",ㄈㄤˊ ㄎㄨㄥ,fángkōng
